Predicted: 283.2223651610308, Target: [265.]
Predicted: 609.3686508723019, Target: [680.]
Predicted: 474.5668916137047, Target: [460.]
Predicted: 943.8429068017342, Target: [1220.]
Predicted: 610.5723576128942, Target: [480.]
Predicted: 173.62705640715444, Target: [280.]
Predicted: 216.8928041165683, Target: [210.]
Predicted: 233.26968401684098, Target: [267.]
Predicted: 184.92121616738297, Target: [220.]
Predicted: 214.5302343697296, Target: [250.]
Predicted: 639.299639234773, Target: [360.]
Predicted: 333.62676026022586, Target: [445.]
Predicted: 324.70601661200595, Target: [284.]
Predicted: 104.88282566173405, Target: [199.]
R-squared: 0.73

